base,slope,mom_win,k,thresh,tl_c,ts_c,tl_s,cd,sharpe,ann_ret,vol,mdd,n_events,eq_final
ALL|std|w63,5Y-2Y,42,0.1,aggr,-3.0,2.5,-3.5,5,0.12454155809230942,0.03331604982588421,0.1069205334336225,-0.23502229616705483,45,1.7495411044975981
ALL|std|w63,5Y-2Y,42,0.15,opt_tight,-3.25,2.75,-4.0,5,0.2036473377323253,0.041891076142930084,0.10749502736786956,-0.23607758712951288,33,2.0145669746502164
ALL|std|w63,5Y-2Y,42,0.15,opt_loose,-3.5,2.75,-4.0,5,0.2036473377323253,0.041891076142930084,0.10749502736786956,-0.23607758712951288,33,2.0145669746502164
ALL|std|w63,5Y-2Y,42,0.15,baseline,-3.5,3.0,-4.0,5,0.21796558096688184,0.0423806549517165,0.10267976646788589,-0.23607758712951288,23,2.0307847448777996
ALL|std|w63,5Y-2Y,42,0.15,aggr,-3.0,2.5,-3.5,5,0.07452717179172341,0.02761196309807845,0.10213674979309754,-0.23502229616705483,48,1.59181859733264
ALL|std|w63,5Y-2Y,42,0.2,opt_tight,-3.25,2.75,-4.0,5,0.19300793143537578,0.04077490326516742,0.10763756240827549,-0.236077587129511,34,1.9780473725687675
ALL|std|w63,5Y-2Y,42,0.2,opt_loose,-3.5,2.75,-4.0,5,0.19300793143537578,0.04077490326516742,0.10763756240827549,-0.236077587129511,34,1.9780473725687675
ALL|std|w63,5Y-2Y,42,0.2,baseline,-3.5,3.0,-4.0,5,0.21796558096688184,0.0423806549517165,0.10267976646788589,-0.23607758712951288,26,2.0307847448777996
ALL|std|w63,5Y-2Y,42,0.2,aggr,-3.0,2.5,-3.5,5,0.1284148174055578,0.03290139889832,0.10046659068614326,-0.23502229616705483,51,1.737597291102347
ALL|std|w63,5Y-2Y,42,0.25,opt_tight,-3.25,2.75,-4.0,5,0.15907921298006805,0.03691592517056708,0.10633649019049754,-0.2350222961670544,37,1.8565314952584153
ALL|std|w63,5Y-2Y,42,0.25,opt_loose,-3.5,2.75,-4.0,5,0.15907921298006805,0.03691592517056708,0.10633649019049754,-0.2350222961670544,37,1.8565314952584153
ALL|std|w63,5Y-2Y,42,0.25,baseline,-3.5,3.0,-4.0,5,0.16857203192596726,0.03710380451826789,0.10146288398409688,-0.2350222961670544,29,1.862281113529703
ALL|std|w63,5Y-2Y,42,0.25,aggr,-3.0,2.5,-3.5,5,0.09405318594742337,0.029525306287901287,0.10127574299530931,-0.23502229616705483,57,1.6431679088078146
ALL|std|w63,5Y-2Y,42,0.3,opt_tight,-3.25,2.75,-4.0,5,0.24534683564239312,0.045795746135357085,0.10513991781396294,-0.23502229616705395,42,2.147378984449269
ALL|std|w63,5Y-2Y,42,0.3,opt_loose,-3.5,2.75,-4.0,5,0.1914971204236834,0.04044027903535263,0.10673935456642346,-0.23502229616705395,41,1.9672209553222069
ALL|std|w63,5Y-2Y,42,0.3,baseline,-3.5,3.0,-4.0,5,0.1833632332095155,0.0386122444616821,0.10150477898922776,-0.23502229616705395,32,1.9090548443152477
ALL|std|w63,5Y-2Y,42,0.3,aggr,-3.0,2.5,-3.5,5,0.13814547602416707,0.03394369063285607,0.100934833583814,-0.23502229616705483,62,1.767767113478359
ALL|std|w63,5Y-2Y,42,0.4,opt_tight,-3.25,2.75,-4.0,5,0.23846208224631285,0.04511944425241832,0.10533936471489785,-0.2350222961670565,47,2.1238004665623786
